device_id,id,vehicle_event_type_id,vehicle_id,data,date_created
"1","2017002","250","1380","1","'2025-06-04T01:42:59+00:00'"
"1","2016676","250","1380","0","'2025-06-04T01:42:16.01+00:00'"
"1","2016254","250","1380","1","'2025-06-04T01:40:58+00:00'"
"1","2016212","250","1380","0","'2025-06-04T01:40:55.01+00:00'"
"1","2015487","250","1380","1","'2025-06-04T01:39:43+00:00'"
"1","2015466","250","1380","0","'2025-06-04T01:39:30+00:00'"
"1","2014761","250","1380","1","'2025-06-04T01:38:23+00:00'"
"1","2014740","250","1380","0","'2025-06-04T01:38:18.01+00:00'"
"1","2012249","250","1380","1","'2025-06-04T01:33:10+00:00'"
"1","2012148","250","1380","0","'2025-06-04T01:32:57.01+00:00'"
"1","2009646","250","1380","1","'2025-06-04T01:26:40+00:00'"
"1","2009444","250","1380","0","'2025-06-04T00:39:01.01+00:00'"
"1","2009406","250","1380","1","'2025-06-04T00:37:53+00:00'"
"1","2009352","250","1380","0","'2025-06-04T00:25:08.01+00:00'"
"1","2009046","250","1380","1","'2025-06-04T00:23:09+00:00'"
"1","2009022","250","1380","0","'2025-06-04T00:22:18+00:00'"
"1","2006930","250","1380","1","'2025-06-04T00:14:35+00:00'"
"1","2006921","250","1380","0","'2025-06-04T00:14:07+00:00'"
"1","2002990","250","1380","1","'2025-06-04T00:01:44+00:00'"
"1","2000378","250","1380","0","'2025-06-03T22:30:20+00:00'"
"1","1988140","250","1380","1","'2025-06-03T21:58:05+00:00'"
"1","1987496","250","1380","0","'2025-06-03T20:52:09.01+00:00'"
"1","1980444","250","1380","1","'2025-06-03T20:39:58+00:00'"
"1","1980424","250","1380","0","'2025-06-03T20:29:38+00:00'"
"1","1969616","250","1380","1","'2025-06-03T20:06:00+00:00'"
"1","1969317","250","1380","0","'2025-06-03T17:46:02.01+00:00'"
"1","1965786","250","1380","1","'2025-06-03T17:34:25.01+00:00'"
"1","1965768","250","1380","0","'2025-06-03T17:28:30.01+00:00'"
"1","1965182","250","1380","1","'2025-06-03T17:26:48.01+00:00'"
"1","1965037","250","1380","0","'2025-06-03T17:26:04.01+00:00'"
"1","1962891","250","1380","1","'2025-06-03T17:21:20+00:00'"
"1","1962708","250","1380","0","'2025-06-03T17:20:20.01+00:00'"
"1","1958463","250","1380","1","'2025-06-03T17:11:06.01+00:00'"
"1","1958358","250","1380","0","'2025-06-03T16:22:31.01+00:00'"
"1","1945345","250","1380","1","'2025-06-03T15:47:15+00:00'"
"1","1945061","250","1380","0","'2025-06-03T14:54:32.01+00:00'"
"1","1932286","250","1380","1","'2025-06-03T14:24:23+00:00'"
"1","1932252","250","1380","0","'2025-06-03T14:21:24.01+00:00'"
"1","1920428","250","1380","1","'2025-06-03T13:53:51+00:00'"
"1","1919679","250","1380","0","'2025-06-03T01:14:56+00:00'"
"1","1910143","250","1380","1","'2025-06-03T00:50:07+00:00'"
"1","1910032","250","1380","0","'2025-06-03T00:22:38.01+00:00'"
"1","1906143","250","1380","1","'2025-06-03T00:12:44+00:00'"
"1","1906114","250","1380","0","'2025-06-03T00:00:56+00:00'"
"1","1899233","250","1380","1","'2025-06-02T23:44:06+00:00'"
"1","1890151","250","1380","0","'2025-06-02T22:09:10+00:00'"
"1","1878100","250","1380","1","'2025-06-02T21:41:57+00:00'"
"1","1877913","250","1380","0","'2025-06-02T20:54:58.01+00:00'"
"1","1869903","250","1380","1","'2025-06-02T20:40:20+00:00'"
"1","1868323","250","1380","0","'2025-06-02T20:31:17+00:00'"
"1","1863364","250","1380","1","'2025-06-02T20:19:52+00:00'"
"1","1861536","250","1380","0","'2025-06-02T19:48:54.01+00:00'"
"1","1852847","250","1380","1","'2025-06-02T19:30:05.01+00:00'"
"1","1852558","250","1380","0","'2025-06-02T19:10:06.01+00:00'"
"1","1846486","250","1380","1","'2025-06-02T18:55:58+00:00'"
"1","1846432","250","1380","0","'2025-06-02T18:46:53+00:00'"
"1","1837195","250","1380","1","'2025-06-02T18:24:43.01+00:00'"
"1","1837084","250","1380","0","'2025-06-02T16:30:35.01+00:00'"
"1","1826937","250","1380","1","'2025-06-02T16:12:09.01+00:00'"
"1","1826921","250","1380","0","'2025-06-02T15:59:26+00:00'"
"1","1826067","250","1380","1","'2025-06-02T15:55:42.01+00:00'"
"1","1825893","250","1380","0","'2025-06-02T15:01:19+00:00'"
"1","1815065","250","1380","1","'2025-06-02T14:38:05+00:00'"
"1","1814467","250","1380","0","'2025-06-02T04:35:03+00:00'"
"1","1811319","250","1380","1","'2025-06-02T04:15:57.01+00:00'"
"1","1811237","250","1380","0","'2025-06-02T03:51:37+00:00'"
