,idle_start_time,idle_end_time,idle_duration_hr,idle_location_x,idle_location_y,idle_start_time_mdt,idle_end_time_mdt,idle_start_hour_mdt
41,2025-05-13 18:27:45.010000+00:00,2025-05-13 18:51:09.010000+00:00,0.39,-1139664350,511455449,2025-05-13 12:27:45.010000-06:00,2025-05-13 12:51:09.010000-06:00,12.85
42,2025-05-13 19:10:30.010000+00:00,2025-05-13 19:47:17.010000+00:00,0.6130555555555556,-1141583883,511819100,2025-05-13 13:10:30.010000-06:00,2025-05-13 13:47:17.010000-06:00,13.783333333333333
43,2025-05-13 20:20:18.010000+00:00,2025-05-13 20:36:10+00:00,0.2644416666666667,-1140824850,509853083,2025-05-13 14:20:18.010000-06:00,2025-05-13 14:36:10-06:00,14.6
44,2025-05-13 20:40:11+00:00,2025-05-13 20:42:02.010000+00:00,0.030836111111111113,-1140903583,509856000,2025-05-13 14:40:11-06:00,2025-05-13 14:42:02.010000-06:00,14.7
45,2025-05-13 21:15:21+00:00,2025-05-13 21:43:15+00:00,0.465,-1140279866,509876066,2025-05-13 15:15:21-06:00,2025-05-13 15:43:15-06:00,15.716666666666667
46,2025-05-13 22:05:13+00:00,2025-05-13 22:27:17+00:00,0.36777777777777776,-1140677633,510314283,2025-05-13 16:05:13-06:00,2025-05-13 16:27:17-06:00,16.45
47,2025-05-13 22:48:52+00:00,2025-05-13 23:24:53.010000+00:00,0.6002805555555556,-1140539483,510516733,2025-05-13 16:48:52-06:00,2025-05-13 17:24:53.010000-06:00,16.4
48,2025-05-13 23:53:46+00:00,2025-05-14 13:43:08+00:00,13.822777777777778,-1141282750,509446383,2025-05-13 17:53:46-06:00,2025-05-14 07:43:08-06:00,17.716666666666665
49,2025-05-14 13:57:09+00:00,2025-05-14 14:01:08.010000+00:00,0.06639166666666667,-1140904350,509855733,2025-05-14 07:57:09-06:00,2025-05-14 08:01:08.010000-06:00,7.016666666666667
50,2025-05-14 14:23:18+00:00,2025-05-14 14:51:34+00:00,0.4711111111111111,-1140849700,508789800,2025-05-14 08:23:18-06:00,2025-05-14 08:51:34-06:00,8.85
51,2025-05-14 14:53:03+00:00,2025-05-14 14:54:57.010000+00:00,0.031669444444444445,-1140858883,508789366,2025-05-14 08:53:03-06:00,2025-05-14 08:54:57.010000-06:00,8.9
52,2025-05-14 15:03:57.010000+00:00,2025-05-14 15:34:33+00:00,0.5099972222222222,-1140387650,508649200,2025-05-14 09:03:57.010000-06:00,2025-05-14 09:34:33-06:00,9.566666666666666
53,2025-05-14 15:59:28.010000+00:00,2025-05-14 16:18:27+00:00,0.3163861111111111,-1141400250,510383149,2025-05-14 09:59:28.010000-06:00,2025-05-14 10:18:27-06:00,9.3
54,2025-05-14 16:35:05+00:00,2025-05-14 16:37:37+00:00,0.042222222222222223,-1141446883,509399649,2025-05-14 10:35:05-06:00,2025-05-14 10:37:37-06:00,10.616666666666667
55,2025-05-14 16:39:36+00:00,2025-05-14 16:40:46.010000+00:00,0.019447222222222223,-1141452200,509399900,2025-05-14 10:39:36-06:00,2025-05-14 10:40:46.010000-06:00,10.666666666666666
56,2025-05-14 16:43:12+00:00,2025-05-14 17:29:50+00:00,0.7772222222222223,-1141457250,509391683,2025-05-14 10:43:12-06:00,2025-05-14 11:29:50-06:00,10.483333333333333
57,2025-05-14 17:38:18+00:00,2025-05-15 03:28:20+00:00,9.83388888888889,-1141284266,509446600,2025-05-14 11:38:18-06:00,2025-05-14 21:28:20-06:00,11.466666666666667
58,2025-05-15 03:30:01+00:00,2025-05-15 13:45:25.010000+00:00,10.256669444444444,-1141282216,509446566,2025-05-14 21:30:01-06:00,2025-05-15 07:45:25.010000-06:00,21.75
59,2025-05-15 14:33:47+00:00,2025-05-15 15:00:35.020000+00:00,0.4466722222222222,-1140858783,511712749,2025-05-15 08:33:47-06:00,2025-05-15 09:00:35.020000-06:00,8.0
60,2025-05-15 15:05:47+00:00,2025-05-15 15:06:13.010000+00:00,0.0072250000000000005,-1140860583,511725066,2025-05-15 09:05:47-06:00,2025-05-15 09:06:13.010000-06:00,9.1
61,2025-05-15 15:19:22+00:00,2025-05-15 15:33:45+00:00,0.23972222222222223,-1142006216,511538533,2025-05-15 09:19:22-06:00,2025-05-15 09:33:45-06:00,9.55
62,2025-05-15 15:58:00+00:00,2025-05-15 18:16:22.010000+00:00,2.306113888888889,-1141284500,509445783,2025-05-15 09:58:00-06:00,2025-05-15 12:16:22.010000-06:00,9.266666666666667
63,2025-05-15 18:23:03.010000+00:00,2025-05-15 19:35:30+00:00,1.2074972222222222,-1141310266,509282850,2025-05-15 12:23:03.010000-06:00,2025-05-15 13:35:30-06:00,12.583333333333334
64,2025-05-15 19:41:17+00:00,2025-05-15 19:44:02.010000+00:00,0.045836111111111105,-1141285716,509446033,2025-05-15 13:41:17-06:00,2025-05-15 13:44:02.010000-06:00,13.733333333333333
65,2025-05-15 20:04:51.010000+00:00,2025-05-15 20:33:02+00:00,0.46971944444444447,-1141298450,510559000,2025-05-15 14:04:51.010000-06:00,2025-05-15 14:33:02-06:00,14.55
66,2025-05-15 20:43:01+00:00,2025-05-15 20:45:53.010000+00:00,0.047780555555555555,-1140806683,510421966,2025-05-15 14:43:01-06:00,2025-05-15 14:45:53.010000-06:00,14.75
67,2025-05-15 20:52:41+00:00,2025-05-15 20:59:29.010000+00:00,0.11333611111111111,-1140764783,510422666,2025-05-15 14:52:41-06:00,2025-05-15 14:59:29.010000-06:00,14.983333333333333
68,2025-05-15 21:33:39.010000+00:00,2025-05-15 22:15:47+00:00,0.7022194444444444,-1141755866,511418666,2025-05-15 15:33:39.010000-06:00,2025-05-15 16:15:47-06:00,15.25
69,2025-05-15 22:17:38+00:00,2025-05-15 22:17:48+00:00,0.002777777777777778,-1141746450,511408633,2025-05-15 16:17:38-06:00,2025-05-15 16:17:48-06:00,16.283333333333335
70,2025-05-15 22:19:14+00:00,2025-05-15 22:25:50.010000+00:00,0.11000277777777777,-1141739933,511409966,2025-05-15 16:19:14-06:00,2025-05-15 16:25:50.010000-06:00,16.416666666666668
71,2025-05-15 22:29:05.010000+00:00,2025-05-15 22:39:05+00:00,0.1666638888888889,-1141826250,511419183,2025-05-15 16:29:05.010000-06:00,2025-05-15 16:39:05-06:00,16.65
72,2025-05-15 23:00:07.010000+00:00,2025-05-15 23:34:35.010000+00:00,0.5744444444444444,-1140863983,510678183,2025-05-15 17:00:07.010000-06:00,2025-05-15 17:34:35.010000-06:00,17.566666666666666
73,2025-05-16 00:00:25+00:00,2025-05-16 00:37:56+00:00,0.6252777777777778,-1141137983,511860633,2025-05-15 18:00:25-06:00,2025-05-15 18:37:56-06:00,18.616666666666667
74,2025-05-16 01:08:36+00:00,2025-05-16 14:34:55.010000+00:00,13.43861388888889,-1141284766,509446850,2025-05-15 19:08:36-06:00,2025-05-16 08:34:55.010000-06:00,19.566666666666666
75,2025-05-16 14:50:10+00:00,2025-05-16 15:03:06+00:00,0.21555555555555556,-1140002683,509561316,2025-05-16 08:50:10-06:00,2025-05-16 09:03:06-06:00,8.05
76,2025-05-16 15:32:58+00:00,2025-05-16 16:07:05.010000+00:00,0.5686138888888889,-1139685700,509187066,2025-05-16 09:32:58-06:00,2025-05-16 10:07:05.010000-06:00,9.116666666666667
77,2025-05-16 16:30:32.010000+00:00,2025-05-16 16:33:49+00:00,0.054719444444444446,-1139859483,510433183,2025-05-16 10:30:32.010000-06:00,2025-05-16 10:33:49-06:00,10.55
78,2025-05-16 16:35:18.010000+00:00,2025-05-16 17:05:18.010000+00:00,0.5,-1139862550,510432950,2025-05-16 10:35:18.010000-06:00,2025-05-16 11:05:18.010000-06:00,10.083333333333334
79,2025-05-16 17:28:01+00:00,2025-05-16 18:17:19+00:00,0.8216666666666667,-1139808850,508689300,2025-05-16 11:28:01-06:00,2025-05-16 12:17:19-06:00,11.283333333333333
80,2025-05-16 18:19:40+00:00,2025-05-16 18:41:21.020000+00:00,0.36139444444444446,-1139824049,508702466,2025-05-16 12:19:40-06:00,2025-05-16 12:41:21.020000-06:00,12.683333333333334
81,2025-05-16 19:15:04+00:00,2025-05-16 19:18:40+00:00,0.06,-1140577866,510928849,2025-05-16 13:15:04-06:00,2025-05-16 13:18:40-06:00,13.3
82,2025-05-16 19:41:16+00:00,2025-05-16 21:53:37+00:00,2.2058333333333335,-1141196899,511725916,2025-05-16 13:41:16-06:00,2025-05-16 15:53:37-06:00,13.883333333333333
83,2025-05-16 22:30:41+00:00,2025-05-16 23:11:57.010000+00:00,0.6877805555555556,-1140694000,510324750,2025-05-16 16:30:41-06:00,2025-05-16 17:11:57.010000-06:00,16.183333333333334
84,2025-05-16 23:26:23.010000+00:00,2025-05-17 00:05:47+00:00,0.6566638888888888,-1140990416,510117633,2025-05-16 17:26:23.010000-06:00,2025-05-16 18:05:47-06:00,17.083333333333332
85,2025-05-17 00:24:25+00:00,2025-05-20 14:25:25+00:00,86.01666666666667,-1141283033,509446300,2025-05-16 18:24:25-06:00,2025-05-20 08:25:25-06:00,18.416666666666668
86,2025-05-20 14:47:57+00:00,2025-05-20 14:55:31+00:00,0.12611111111111112,-1140566166,510039649,2025-05-20 08:47:57-06:00,2025-05-20 08:55:31-06:00,8.916666666666666
87,2025-05-20 15:12:18+00:00,2025-05-20 16:04:46.010000+00:00,0.8744472222222223,-1141082733,510436866,2025-05-20 09:12:18-06:00,2025-05-20 10:04:46.010000-06:00,9.066666666666666
88,2025-05-20 16:39:03+00:00,2025-05-20 16:40:18+00:00,0.020833333333333332,-1139296333,509251966,2025-05-20 10:39:03-06:00,2025-05-20 10:40:18-06:00,10.666666666666666
89,2025-05-20 16:41:24.010000+00:00,2025-05-20 16:58:54+00:00,0.2916638888888889,-1139297183,509253283,2025-05-20 10:41:24.010000-06:00,2025-05-20 10:58:54-06:00,10.966666666666667
