device_id,vehicle_id,start_time,end_time
3,1947,2025-06-11 17:48:20.000,2025-06-11 18:07:29.010
3,1947,2025-06-11 19:38:57.010,2025-06-11 19:40:42.000
3,1947,2025-06-11 19:48:38.010,2025-06-11 19:58:06.000
3,1947,2025-06-11 20:08:16.000,2025-06-11 20:18:33.000
3,1947,2025-06-11 21:12:32.000,2025-06-11 21:27:51.000
3,1947,2025-06-11 22:11:42.000,2025-06-11 22:17:16.010
3,1947,2025-06-11 22:30:26.010,2025-06-11 22:34:56.000
3,1947,2025-06-11 23:07:27.000,2025-06-11 23:16:55.010
3,1947,2025-06-12 16:17:20.000,2025-06-12 16:31:22.000
3,1947,2025-06-12 16:32:09.000,2025-06-12 16:41:50.000
3,1947,2025-06-12 18:53:16.000,2025-06-12 19:16:54.000
3,1947,2025-06-12 19:59:16.000,2025-06-12 20:12:55.010
3,1947,2025-06-12 22:13:00.000,2025-06-12 22:32:09.010
3,1947,2025-06-13 19:59:03.010,2025-06-13 20:20:15.000
3,1947,2025-06-13 20:37:01.000,2025-06-13 20:54:24.000
3,1947,2025-06-13 21:38:09.000,2025-06-13 21:43:02.000
3,1947,2025-06-13 23:13:17.000,2025-06-13 23:17:41.000
3,1947,2025-06-13 23:22:23.000,2025-06-13 23:30:36.010
