device_id,vehicle_id,start_time,end_time,start_x,start_y,start_loc_time,end_x,end_y,end_loc_time
1,1380,2025-05-04 21:07:43.000,2025-05-04 21:21:40.000,-1141222533,511793299,2025-05-04 21:07:43+00:00,-1141601866,511814450,2025-05-04 21:21:40+00:00
1,1380,2025-05-04 21:23:20.010,2025-05-04 21:33:37.000,-1141599333,511815249,2025-05-04 21:23:20.010000+00:00,-1141598033,511801650,2025-05-04 21:33:37+00:00
1,1380,2025-05-04 21:34:18.000,2025-05-04 21:35:51.000,-1141582550,511770866,2025-05-04 21:34:18+00:00,-1141537049,511714916,2025-05-04 21:35:51+00:00
1,1380,2025-05-04 21:35:54.000,2025-05-04 21:39:36.010,-1141534200,511710816,2025-05-04 21:35:54+00:00,-1141522733,511527133,2025-05-04 21:39:36.010000+00:00
1,1380,2025-05-04 21:42:22.000,2025-05-04 21:48:40.000,-1142125100,511388216,2025-05-04 21:42:22+00:00,-1142022166,511279433,2025-05-04 21:48:40+00:00
1,1380,2025-05-04 22:05:10.000,2025-05-04 22:11:54.000,-1142022916,511279783,2025-05-04 22:05:10+00:00,-1142338583,510914016,2025-05-04 22:11:54+00:00
1,1380,2025-05-04 22:13:26.000,2025-05-04 22:15:03.000,-1142260916,510674366,2025-05-04 22:13:26+00:00,-1142207083,510669466,2025-05-04 22:15:03+00:00
1,1380,2025-05-04 22:15:40.000,2025-05-04 22:31:07.000,-1142138966,510669649,2025-05-04 22:15:40+00:00,-1141760166,510629033,2025-05-04 22:31:07+00:00
1,1380,2025-05-04 22:32:29.000,2025-05-04 22:33:49.000,-1141760533,510629466,2025-05-04 22:32:29+00:00,-1141764566,510629366,2025-05-04 22:33:49+00:00
1,1380,2025-05-05 01:42:19.000,2025-05-05 02:20:29.000,-1141764483,510628916,2025-05-05 01:42:19+00:00,-1141222366,511796166,2025-05-05 02:20:29+00:00
1,1380,2025-05-05 03:27:16.010,2025-05-05 03:56:01.000,-1141222666,511795300,2025-05-05 03:27:16.010000+00:00,-1142022633,511277050,2025-05-05 03:56:01+00:00
1,1380,2025-05-05 06:05:02.000,2025-05-05 06:26:45.000,-1142022816,511276449,2025-05-05 06:05:02+00:00,-1140557083,511268000,2025-05-05 06:26:45+00:00
1,1380,2025-05-05 06:30:37.000,2025-05-05 06:48:48.000,-1140557166,511267166,2025-05-05 06:30:37+00:00,-1140946600,511007133,2025-05-05 06:48:48+00:00
1,1380,2025-05-05 07:49:02.010,2025-05-05 08:15:10.000,-1140946650,511006233,2025-05-05 07:49:02.010000+00:00,-1141222533,511793450,2025-05-05 08:15:10+00:00
1,1380,2025-05-05 17:06:48.010,2025-05-05 17:07:56.010,-1141220483,511795983,2025-05-05 17:06:48.010000+00:00,-1141178816,511798400,2025-05-05 17:07:56.010000+00:00
1,1380,2025-05-05 17:08:19.000,2025-05-05 17:13:19.000,-1141177966,511830150,2025-05-05 17:08:19+00:00,-1140621866,511729050,2025-05-05 17:13:19+00:00
1,1380,2025-05-05 17:14:34.000,2025-05-05 17:16:59.000,-1140299283,511755083,2025-05-05 17:14:34+00:00,-1140116150,511587766,2025-05-05 17:16:59+00:00
1,1380,2025-05-05 17:17:21.000,2025-05-05 17:20:39.010,-1140176883,511547999,2025-05-05 17:17:21+00:00,-1140472683,511116466,2025-05-05 17:20:39.010000+00:00
1,1380,2025-05-05 17:21:41.010,2025-05-05 17:29:45.000,-1140422199,510976233,2025-05-05 17:21:41.010000+00:00,-1140344083,510416733,2025-05-05 17:29:45+00:00
1,1380,2025-05-05 17:31:01.010,2025-05-05 17:35:57.000,-1140476383,510439866,2025-05-05 17:31:01.010000+00:00,-1140551983,510440733,2025-05-05 17:35:57+00:00
1,1380,2025-05-06 02:29:21.000,2025-05-06 02:50:20.010,-1140551466,510434399,2025-05-06 02:29:21+00:00,-1140848350,511395550,2025-05-06 02:50:20.010000+00:00
1,1380,2025-05-06 02:50:33.010,2025-05-06 03:02:47.000,-1140883000,511409066,2025-05-06 02:50:33.010000+00:00,-1141221900,511797099,2025-05-06 03:02:47+00:00
1,1380,2025-05-06 03:13:28.010,2025-05-06 03:33:07.000,-1141222533,511794983,2025-05-06 03:13:28.010000+00:00,-1141596333,511548266,2025-05-06 03:33:07+00:00
1,1380,2025-05-06 04:51:57.010,2025-05-06 05:22:44.000,-1141596233,511549333,2025-05-06 04:51:57.010000+00:00,-1141221450,511795033,2025-05-06 05:22:44+00:00
1,1380,2025-05-07 00:46:15.000,2025-05-07 00:47:56.010,-1141218350,511795016,2025-05-07 00:46:15+00:00,-1141177500,511799966,2025-05-07 00:47:56.010000+00:00
1,1380,2025-05-07 00:48:17.010,2025-05-07 00:54:12.000,-1141179250,511829800,2025-05-07 00:48:17.010000+00:00,-1141278133,511531116,2025-05-07 00:54:12+00:00
1,1380,2025-05-07 00:56:03.000,2025-05-07 00:57:17.000,-1141818316,511511916,2025-05-07 00:56:03+00:00,-1142064850,511419066,2025-05-07 00:57:17+00:00
1,1380,2025-05-07 00:57:30.000,2025-05-07 01:04:06.000,-1142106066,511395049,2025-05-07 00:57:30+00:00,-1141978583,511220833,2025-05-07 01:04:06+00:00
1,1380,2025-05-07 03:09:16.000,2025-05-07 03:26:40.000,-1141978583,511220833,2025-05-07 03:09:16+00:00,-1141617033,511373000,2025-05-07 03:26:40+00:00
1,1380,2025-05-07 04:01:43.000,2025-05-07 04:16:43.000,-1141617366,511373050,2025-05-07 04:01:43+00:00,-1141223666,511793849,2025-05-07 04:16:43+00:00
1,1380,2025-05-07 16:00:33.010,2025-05-07 16:01:46.010,-1141221350,511795549,2025-05-07 16:00:33.010000+00:00,-1141180316,511797700,2025-05-07 16:01:46.010000+00:00
1,1380,2025-05-07 16:03:14.000,2025-05-07 16:05:28.010,-1141049200,511831600,2025-05-07 16:03:14+00:00,-1140947200,511816816,2025-05-07 16:05:28.010000+00:00
1,1380,2025-05-07 16:05:48.000,2025-05-07 16:06:59.000,-1140944266,511782933,2025-05-07 16:05:48+00:00,-1141061033,511664983,2025-05-07 16:06:59+00:00
1,1380,2025-05-07 16:07:24.000,2025-05-07 16:08:28.010,-1141108583,511605333,2025-05-07 16:07:24+00:00,-1141336533,511525516,2025-05-07 16:08:28.010000+00:00
1,1380,2025-05-07 16:09:40.000,2025-05-07 16:10:43.010,-1141650366,511521633,2025-05-07 16:09:40+00:00,-1141906916,511507999,2025-05-07 16:10:43.010000+00:00
1,1380,2025-05-07 16:11:18.000,2025-05-07 16:15:06.000,-1142029383,511455200,2025-05-07 16:11:18+00:00,-1142341999,511251850,2025-05-07 16:15:06+00:00
1,1380,2025-05-07 16:15:23.000,2025-05-07 16:19:59.000,-1142379933,511255016,2025-05-07 16:15:23+00:00,-1142452633,511191983,2025-05-07 16:19:59+00:00
1,1380,2025-05-07 16:48:56.010,2025-05-07 17:34:40.000,-1142452066,511190849,2025-05-07 16:48:56.010000+00:00,-1141213633,509569800,2025-05-07 17:34:40+00:00
1,1380,2025-05-07 17:37:15.000,2025-05-07 17:44:50.000,-1141213600,509569800,2025-05-07 17:37:15+00:00,-1141283233,509445583,2025-05-07 17:44:50+00:00
1,1380,2025-05-07 17:46:41.000,2025-05-07 17:48:59.010,-1141283183,509444783,2025-05-07 17:46:41+00:00,-1141285566,509450200,2025-05-07 17:48:59.010000+00:00
1,1380,2025-05-07 18:15:24.000,2025-05-07 18:16:42.010,-1141285916,509449833,2025-05-07 18:15:24+00:00,-1141284016,509446416,2025-05-07 18:16:42.010000+00:00
1,1380,2025-05-07 21:55:31.000,2025-05-07 22:14:11.000,-1141285483,509445633,2025-05-07 21:55:31+00:00,-1140490116,509966366,2025-05-07 22:14:11+00:00
1,1380,2025-05-07 22:22:19.010,2025-05-07 22:45:07.000,-1140490950,509965516,2025-05-07 22:22:19.010000+00:00,-1140677533,509517750,2025-05-07 22:45:07+00:00
1,1380,2025-05-07 23:48:33.000,2025-05-08 00:09:29.000,-1140677283,509518183,2025-05-07 23:48:33+00:00,-1140102066,508591216,2025-05-08 00:09:29+00:00
